frame,og_frame,right_thigh_angle,right_thigh_angle_deg,left_thigh_angle,left_thigh_angle_deg,Right leg,Left leg 
1,18,1.110869897,63.64815669,1.713459803,98.17401507,Peak flexion,
2,19,1.130817999,64.79109873,1.738419334,99.60409089,,
3,20,1.138343449,65.22227528,1.7712634,101.4859172,,
4,21,1.155103804,66.18257286,1.793830533,102.7789187,,
5,22,1.175087913,67.32757795,1.812523725,103.8499597,,
6,23,1.193338356,68.37325134,1.828794883,104.7822284,,
7,24,1.203257862,68.94159717,1.838014505,105.3104738,,
8,25,1.215263841,69.62948908,1.852714362,106.1527136,,
9,26,1.220247152,69.91501178,1.856413144,106.3646382,,
10,27,1.216440044,69.69688056,1.859796964,106.5585168,Heel strike ,
11,28,1.212632936,69.47874934,1.876851967,107.5356965,,Peak extension
12,29,1.22818366,70.36974016,1.856413144,106.3646382,,
13,30,1.234702494,70.74324185,1.843963589,105.6513312,,
14,31,1.25171298,71.71787091,1.837411616,105.2759308,,
15,32,1.269918713,72.76098256,1.820564818,104.3106804,,
16,33,1.273725796,72.97911235,1.776847539,101.8058648,,
17,34,1.254237622,71.86252227,1.745892841,100.0322913,,
18,35,1.243959549,71.27363205,1.720954573,98.60343378,,
19,36,1.260679036,72.23158809,1.696016305,97.17457626,,Toe off
20,37,1.279986821,73.33784269,1.664104909,95.34618797,,
21,38,1.322981118,75.80123444,1.607218742,92.08685068,,
22,39,1.338670031,76.70014292,1.542486997,88.37799489,,
23,40,1.379097489,79.01646568,1.498087575,85.83409537,,
24,41,1.413325042,80.97755997,1.443524374,82.70785426,,
25,42,1.443024003,82.67918508,1.370841312,78.54342155,,
26,43,1.487085088,85.2036993,1.330656707,76.24101331,,
27,44,1.484296247,85.04391049,1.281845414,73.44433223,,
28,45,1.526633142,87.46963589,1.243959549,71.27363205,,
29,46,1.542938789,88.40388065,1.221437229,69.98319819,,
30,47,1.574932479,90.23698406,1.191639952,68.27593994,,
31,48,1.591240762,91.17137987,1.174008764,67.26574731,,
32,49,1.618724252,92.74606786,1.15728335,66.30745164,,
33,50,1.631242247,93.46329611,1.13457433,65.00632065,,
34,51,1.663750709,95.32589378,1.125292176,64.47449241,,
35,52,1.691249663,96.90146782,1.121826035,64.27589714,,
36,53,1.713459803,98.17401507,1.110869897,63.64815669,,Peak flexion
37,54,1.738419334,99.60409089,1.130817999,64.79109873,,
38,55,1.7712634,101.4859172,1.138343449,65.22227528,,
39,56,1.793830533,102.7789187,1.155103804,66.18257286,,
40,57,1.812523725,103.8499597,1.175087913,67.32757795,,
41,58,1.828794883,104.7822284,1.193338356,68.37325134,,
42,59,1.838014505,105.3104738,1.203257862,68.94159717,,
43,60,1.852714362,106.1527136,1.215263841,69.62948908,,
44,61,1.856413144,106.3646382,1.220247152,69.91501178,,
45,62,1.859796964,106.5585168,1.212632936,69.47874934,,Heel strike
46,63,1.876851967,107.5356965,1.22818366,70.36974016,Peak extension,
47,64,1.856413144,106.3646382,1.234702494,70.74324185,,
48,65,1.843963589,105.6513312,1.25171298,71.71787091,,
49,66,1.837411616,105.2759308,1.269918713,72.76098256,,
50,67,1.820564818,104.3106804,1.273725796,72.97911235,,
51,68,1.776847539,101.8058648,1.254237622,71.86252227,,
52,69,1.745892841,100.0322913,1.243959549,71.27363205,,
53,70,1.696016305,97.17457626,1.260679036,72.23158809,Toe off,
54,71,1.664104909,95.34618797,1.279986821,73.33784269,,
55,72,1.607218742,92.08685068,1.322981118,75.80123444,,
56,73,1.542486997,88.37799489,1.338670031,76.70014292,,
57,74,1.498087575,85.83409537,1.379097489,79.01646568,,
58,75,1.443524374,82.70785426,1.413325042,80.97755997,,
59,76,1.370841312,78.54342155,1.443024003,82.67918508,,
60,77,1.330656707,76.24101331,1.487085088,85.2036993,,
61,78,1.281845414,73.44433223,1.484296247,85.04391049,,
62,79,1.243959549,71.27363205,1.526633142,87.46963589,,
63,80,1.221437229,69.98319819,1.542938789,88.40388065,,
64,81,1.191639952,68.27593994,1.574932479,90.23698406,,
65,82,1.174008764,67.26574731,1.591240762,91.17137987,,
66,83,1.15728335,66.30745164,1.618724252,92.74606786,,
67,84,1.13457433,65.00632065,1.631242247,93.46329611,,
68,85,1.125292176,64.47449241,1.663750709,95.32589378,,
69,86,1.121826035,64.27589714,1.691249663,96.90146782,,
